# Activities file
# Format: id|name|duration|timestamp|category|description
1|Activity 1|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052595|Category 1|Description 2
3|Activity 3|60|1765138995|Category 2|Description 3
1|Activity 1|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 1|Description 2
3|Activity 3|60|1765052795|Category 2|Description 3
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 1|Description 2
3|Activity 3|60|1765052795|Category 2|Description 3
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052595|Category 1|Description 2
3|Activity 3|60|1765138995|Category 2|Description 3
1|Single Activity|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
1|Single Activity|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052595|Category 1|Description 2
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 1|45|1765052695|Category 1|Description 2
3|Activity 2|60|1765052795|Category 2|Description 3
1|Same Activity|30|1765052595|Category 1|Description 1
2|Same Activity|45|1765052695|Category 1|Description 2
3|Same Activity|25|1765052795|Category 1|Description 3
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 1|Description 2
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 1|Description 2
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052595|Category 1|Description 2
3|Activity 3|60|1765138995|Category 2|Description 3
1|Test Activity|30|1765052595|Test|Test Description
1|Activity 1|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 2|Description 2
1|Activity 1|30|1765052595|Category 1|Description 1
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 2|Description 2
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 2|Description 2
1|Activity 1|30|1765052595|Category 1|Description 1
2|Activity 2|45|1765052695|Category 2|Description 2
1|Activity 1|30|1765052597|Category 1|Description 1
1|Activity 1|30|1765052597|Category 1|Description 1
